latitude,longitude,scientific_name,taxon_family_name
36.71147,-114.713619,Aphis nerii,Aphididae
32.214217,-110.55969,Smiliini,Membracidae
35.8318974,-106.3574334,Aphidinae,Aphididae
37.67160555,-113.0349693,Aphididae,Aphididae
31.928889,-109.262222,Vanduzea,Membracidae
34.72141386,-86.78291559,Aphididae,Aphididae
35.702823,-90.397198,Aphididae,Aphididae
33.70111167,-86.69138833,Aphididae,Aphididae
40.74937427,-111.9209043,Aphididae,Aphididae
34.400415,-85.63436333,Aphis,Aphididae
34.400235,-85.634465,Aphis,Aphididae
34.33156445,-106.6533097,Aphididae,Aphididae
37.0247945,-113.3662867,Aphis nerii,Aphididae
61.32458496,-149.5126953,Pterocomma,Aphididae
34.65317643,-86.55387891,Aphidinae,Aphididae
40.49581388,-111.638343,Chaitophorus,Aphididae
32.61654663,-85.53143311,Prociphilus tessellatus,Aphididae
40.59241487,-111.6270851,Aphididae,Aphididae
60.7245369,-149.277832,Chaitophorus,Aphididae
36.24448987,-105.5987705,Publilia modesta,Membracidae
34.8129229,-111.8305634,Aphididae,Aphididae
36.9838829,-110.1129551,Aphididae,Aphididae
35.68964917,-105.8862282,Chaitophorus,Aphididae
35.113025,-106.49002,Sipha maydis,Aphididae
37.27869667,-121.810945,Aphididae,Aphididae
37.27874667,-121.8108583,Aphididae,Aphididae
38.54023992,-121.7489607,Macrosiphum rosae,Aphididae
38.44063568,-122.5240154,Aphididae,Aphididae
38.4695506,-123.0181529,Aphididae,Aphididae
34.28366487,-118.6055369,Chaitophorus populicola,Aphididae
37.395698,-121.806628,Aphididae,Aphididae
34.08508628,-118.8317246,Aphis asclepiadis,Aphididae
33.77575315,-116.3576987,Aphis nerii,Aphididae
36.10023367,-115.0223219,Hyalopterus pruni,Aphididae
37.96717168,-122.2683696,Aphis gossypii,Aphididae
37.328598,-122.092604,Brachycaudus cardui,Aphididae
37.40807589,-121.9591023,Chaitophorus,Aphididae
38.52939925,-121.7664195,Aphis,Aphididae
37.1351805,-121.7854467,Aphis,Aphididae
34.09657878,-118.7166314,Chaitophorus,Aphididae
34.20018508,-118.2132926,Aphididae,Aphididae
32.39786116,-110.6891843,Smiliini,Membracidae
37.16081117,-121.9824217,Aphididae,Aphididae
37.16842214,-122.0206774,Aphididae,Aphididae
37.03651383,-121.4046033,Aphididae,Aphididae
34.1763419,-118.6941335,Aphididae,Aphididae
34.17662564,-118.6964814,Brachycaudus cardui,Aphididae
37.39692222,-121.7975222,Brachycaudus cardui,Aphididae
34.09680157,-118.5806273,Aphis ceanothi,Aphididae
36.18396676,-94.15555199,Flatormenis proxima,Flatidae
32.42443422,-106.6761074,Vanduzea segmentata,Membracidae
32.42443422,-106.6761074,Vanduzea segmentata,Membracidae
36.77832576,-103.9805259,Cuerna alpina,Cicadellidae
34.39973901,-118.6627219,Aphis,Aphididae
35.05554167,-106.6737583,Publilia modesta,Membracidae
33.55860294,-86.70727773,Uroleucon,Aphididae
40.34919774,-111.5623533,Publilia modesta,Membracidae
33.80673267,-118.0873456,Aphididae,Aphididae
34.5500145,-111.851059,Enchenopa latipes,Membracidae
35.08553436,-106.4930508,Aphis nerii,Aphididae
40.41587076,-111.7805609,Aphididae,Aphididae
31.62649345,-86.48699188,Prociphilus tessellatus,Aphididae
37.95466097,-119.1171929,Chaitophorus populicola,Aphididae
37.23692369,-121.8800754,Brachycaudus cardui,Aphididae
32.83470981,-106.2481076,Aphis,Aphididae
35.14888073,-106.4693831,Aphididae,Aphididae
34.07426347,-118.5661643,Chaitophorus,Aphididae
35.724857,-90.417253,Aphis,Aphididae
33.486968,-85.810928,Vanduzea arquata,Membracidae
33.90271803,-111.8233824,Aphididae,Aphididae
35.09944871,-92.46621907,Aphis pomi,Aphididae
34.623134,-87.793207,Publilia reticulata,Membracidae
34.17542833,-103.3651967,Aphididae,Aphididae
35.07403897,-92.494246,Entylia carinata,Membracidae
33.30502752,-86.76152374,Vanduzea arquata,Membracidae
40.37372573,-111.7169915,Chaitophorus populicola,Aphididae
33.39227472,-86.77351301,Vanduzea segmentata,Membracidae
33.30710778,-86.75942089,Vanduzea arquata,Membracidae
40.67593,-111.5312417,Pachypappa sacculi,Aphididae
38.97518438,-114.1986346,Aphididae,Aphididae
38.97518438,-114.1986346,Aphididae,Aphididae
39.037245,-114.2696729,Aphididae,Aphididae
38.91400922,-114.1633083,Aphididae,Aphididae
34.233225,-112.0986183,Chaitophorus,Aphididae
35.779246,-90.700507,Aphididae,Aphididae
35.23780833,-108.1288917,Uroleucon,Aphididae
33.3872187,-86.7921226,Vanduzea segmentata,Membracidae
33.3872187,-86.7921226,Vanduzea segmentata,Membracidae
41.46349786,-116.9724807,Aphididae,Aphididae
33.32045528,-86.80168447,Entylia carinata,Membracidae
33.5555817,-86.6969066,Entylia carinata,Membracidae
33.490621,-86.775089,Entylia carinata,Membracidae
33.3872187,-86.7921226,Vanduzea segmentata,Membracidae
34.71409262,-86.67116886,Aphididae,Aphididae
36.31856102,-94.13996289,Vanduzea,Membracidae
33.5555817,-86.6969066,Entylia carinata,Membracidae
33.5555817,-86.6969066,Entylia carinata,Membracidae
33.5555817,-86.6969066,Entylia carinata,Membracidae
33.5555817,-86.6969066,Entylia carinata,Membracidae
33.5555817,-86.6969066,Entylia carinata,Membracidae
35.064426,-113.881134,Tuberolachnus salignus,Aphididae
33.64574722,-87.94322222,Entylia carinata,Membracidae
37.42047833,-122.0712972,Aphis farinosa,Aphididae
64.85853662,-147.857026,Aphididae,Aphididae
33.61921333,-117.79994,Brachycaudus cardui,Aphididae
33.61966667,-117.8024983,Aphis sambuci,Aphididae
33.3872187,-86.7921226,Aphis,Aphididae
33.3872187,-86.7921226,Aphis,Aphididae
33.3872187,-86.7921226,Aphidini,Aphididae
37.6138904,-118.8332262,Aphididae,Aphididae
37.6138904,-118.8332262,Aphididae,Aphididae
35.21681341,-106.6068748,Membracidae,Membracidae
33.39249732,-86.77315896,Cinara,Aphididae
32.37010179,-86.18530098,Aphididae,Aphididae
36.31858302,-94.13968558,Aphididae,Aphididae
34.5881461,-86.4588768,Aphididae,Aphididae
37.79744564,-111.4130941,Chaitophorus,Aphididae
33.30994461,-86.75558797,Vanduzea arquata,Membracidae
33.55514343,-86.6977839,Aphididae,Aphididae
33.55514343,-86.6977839,Enchenopa latipes,Membracidae
34.8322413,-111.892459,Aphididae,Aphididae
34.7239731,-86.4996546,Aphididae,Aphididae
32.10856513,-104.4237761,Aphididae,Aphididae
33.39249732,-86.77315896,Vanduzea segmentata,Membracidae
33.39249732,-86.77315896,Entylia carinata,Membracidae
34.61672167,-112.5502783,Publilia porrecta,Membracidae
34.61668,-112.5502467,Publilia porrecta,Membracidae
36.06141667,-94.17051139,Aphidinae,Aphididae
34.68141167,-92.46406667,Metcalfa pruinosa,Flatidae
33.39249732,-86.77315896,Rhopalosiphum padi,Aphididae
33.39249732,-86.77315896,Vanduzea segmentata,Membracidae
38.93902119,-114.2609196,Aphis,Aphididae
33.39249732,-86.77315896,Vanduzea segmentata,Membracidae
33.39249732,-86.77315896,Vanduzea segmentata,Membracidae
39.18226667,-116.790445,Aphididae,Aphididae
35.10036368,-92.46221346,Aphis illinoisensis,Aphididae
36.51485834,-105.574805,Smiliinae,Membracidae
64.886354,-147.805982,Chaitophorus populicola,Aphididae
36.01179317,-94.23333552,Aphis folsomii,Aphididae
35.725162,-90.422284,Aphididae,Aphididae
33.39249732,-86.77315896,Acanalonia conica,Acanaloniidae
33.39249732,-86.77315896,Vanduzea segmentata,Membracidae
35.28867774,-92.28675037,Prociphilus,Aphididae
40.45571333,-111.7687083,Chaitophorus populicola,Aphididae
33.39249732,-86.77315896,Vanduzea segmentata,Membracidae
40.583047,-111.622183,Aphididae,Aphididae
35.00723612,-106.6833283,Chaitophorus,Aphididae
35.30913168,-111.8289212,Aphididae,Aphididae
36.09707622,-94.13798757,Aphis nerii,Aphididae
